msa,firms,fsize,fage4,job_creation_births,job_creation_continuers,job_destruction,year2
34060,1302,m,l,665,1503,3765,1977
34100,224,m,a,894,0,0,1977
34100,1108,m,l,372,2325,4083,1977
34580,234,m,a,988,0,0,1977
34580,1064,m,l,475,1409,2509,1977
34620,267,m,a,1713,0,0,1977
34620,1791,m,l,916,4212,5377,1977
34740,293,m,a,1673,0,0,1977
34740,1966,m,l,1280,3687,5037,1977
34820,464,m,a,2080,0,0,1977
34820,1728,m,l,375,4064,3730,1977
34900,334,m,a,1425,0,0,1977
34900,1396,m,l,378,2143,2933,1977
34940,465,m,a,2619,0,0,1977
34940,1491,m,l,712,2058,3543,1977
34980,2504,m,a,15869,0,0,1977
34980,11931,m,l,9689,33670,42820,1977
35300,1772,m,a,11789,0,0,1977
35300,11759,m,l,7917,33505,27019,1977
35380,2812,m,a,20398,0,0,1977
35380,16054,m,l,15481,45141,62217,1977
35620,42144,m,a,248027,0,0,1977
35620,273135,m,l,170546,604409,865740,1977
35660,364,m,a,2088,0,0,1977
35660,2408,m,l,1129,5126,6432,1977
35840,1296,m,a,7114,0,0,1977
35840,5102,m,l,3287,9036,12144,1977
35980,472,m,a,2637,0,0,1977
35980,2997,m,l,697,9939,5954,1977
36100,372,m,a,2200,0,0,1977
36100,1555,m,l,404,2665,3526,1977
36140,283,m,a,1143,0,0,1977
36140,1322,m,l,329,1844,2923,1977
36220,464,m,a,3113,0,0,1977
36220,2095,m,l,1270,4610,7276,1977
36260,712,m,a,3437,0,0,1977
36260,2856,m,l,2235,7673,8129,1977
36420,2782,m,a,19029,0,0,1977
36420,12814,m,l,7860,28111,39625,1977
36500,349,m,a,1570,0,0,1977
36500,1499,m,l,706,2244,2907,1977
36540,1674,m,a,11003,0,0,1977
36540,9470,m,l,7830,27772,33912,1977
36740,2338,m,a,15988,0,0,1977
36740,9954,m,l,15788,27215,36599,1977
36780,294,m,a,1696,0,0,1977
36780,2021,m,l,968,4168,5559,1977
36980,264,m,a,1241,0,0,1977
36980,1630,m,l,1344,2717,3281,1977
37100,1380,m,a,7655,0,0,1977
37100,5429,m,l,3237,12278,15047,1977
37340,748,m,a,3655,0,0,1977
37340,3103,m,l,1669,9145,9226,1977
37380,42,m,a,0,0,0,1977
37380,107,m,l,704,117,248,1977
37460,367,m,a,1875,0,0,1977
37460,1472,m,l,1400,1958,5040,1977
37620,363,m,a,2035,0,0,1977
37620,2394,m,l,597,3956,5416,1977
37700,271,m,a,1744,0,0,1977
37700,1289,m,l,283,4129,3455,1977
37860,724,m,a,4177,0,0,1977
37860,3420,m,l,1712,6227,9583,1977
37900,854,m,a,7106,0,0,1977
37900,5489,m,l,2161,14393,17954,1977
37980,10985,m,a,74566,0,0,1977
37980,68155,m,l,64737,208307,261837,1977
38060,4813,m,a,33125,0,0,1977
38060,17630,m,l,14429,52999,80392,1977
38220,267,m,a,1460,0,0,1977
38220,1385,m,l,591,2025,3089,1977
38300,4704,m,a,32157,0,0,1977
38300,33157,m,l,27691,77377,105509,1977
38340,336,m,a,3369,0,0,1977
38340,2257,m,l,2243,3726,5731,1977
38540,225,m,a,1340,0,0,1977
38540,1160,m,l,483,10538,2924,1977
38860,1028,m,a,5140,0,0,1977
38860,5883,m,l,3355,11981,14562,1977
38900,4285,m,a,28289,0,0,1977
38900,19059,m,l,12401,47038,61528,1977
38940,477,m,a,2243,0,0,1977
38940,1919,m,l,943,4602,4283,1977
39100,1020,m,a,6004,0,0,1977
39100,6481,m,l,2770,12757,17718,1977
39140,270,m,a,894,0,0,1977
39140,943,m,l,313,1034,1539,1977
39300,3234,m,a,17473,0,0,1977
39300,21571,m,l,11018,102524,55149,1977
39340,560,m,a,2977,0,0,1977
39340,2065,m,l,1285,12205,6494,1977
39380,325,m,a,2050,0,0,1977
39380,1767,m,l,1629,2418,5338,1977
39460,177,m,a,936,0,0,1977
39460,565,m,l,240,970,1221,1977
39540,328,m,a,1896,0,0,1977
39540,2442,m,l,793,5540,5935,1977
39580,1177,m,a,7027,0,0,1977
39580,5833,m,l,5129,12901,20468,1977
39660,344,m,a,2198,0,0,1977
39660,1513,m,l,349,2600,3612,1977
39740,588,m,a,3392,0,0,1977
39740,4569,m,l,3007,16707,12333,1977
39820,568,m,a,2618,0,0,1977
39820,1718,m,l,658,2796,4583,1977
39900,922,m,a,5598,0,0,1977
39900,3329,m,l,2938,9412,9559,1977
40060,1835,m,a,11280,0,0,1977
40060,11082,m,l,10235,27107,49268,1977
