city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Bay City,MI,1982,1646,1766,1964,4568,43.5944677,-83.8888647
Bend,OR,1982,1598,1999,1820,4873,44.0581728,-121.3153096
Billings,MT,1982,3057,3728,4380,6914,45.7832856,-108.5006904
Binghamton,NY,1982,3687,5832,6499,9780,42.0986867,-75.9179738
Birmingham,AL,1982,13431,19183,29664,49500,33.5206608,-86.80249
Bloomington,IL,1982,2001,2469,3456,6040,40.4842027,-88.9936873
Bowling Green,KY,1982,1453,3610,1736,3758,36.9903199,-86.4436018
Buffalo,NY,1982,18171,27751,30480,64921,42.8864468,-78.8783689
Canton,OH,1982,6234,6479,10105,20178,40.7989473,-81.378447
Champaign,IL,1982,3258,3969,4708,9619,39.8403147,-88.9548001
Charleston,SC,1982,6240,11093,10431,19270,32.7765656,-79.9309216
Charlotte,NC,1982,15860,23525,32533,54276,35.2270869,-80.8431267
Charlottesville,VA,1982,2381,3374,3644,5396,38.0293059,-78.4766781
Chattanooga,TN,1982,6478,10529,9729,22308,35.0456297,-85.3096801
Chicago,IL,1982,122215,221807,246771,528802,41.850033,-87.6500523
Cincinnati,OH,1982,25033,36765,49331,94580,39.1361111,-84.5030556
Columbia,SC,1982,7794,11784,12206,21292,34.0007104,-81.0348144
Columbus,GA,1982,769,621,850,1647,32.4609764,-84.9877094
Columbus,OH,1982,18630,33002,36291,70718,39.9611755,-82.9987942
Corpus Christi,TX,1982,6687,15995,11969,18496,27.8005828,-97.396381
Dayton,OH,1982,11740,18377,21061,45798,39.7589478,-84.1916069
Decatur,AL,1982,1727,1890,2615,4466,34.6059253,-86.9833417
Denver,CO,1982,30585,97547,78509,113129,39.7391536,-104.9847034
Detroit,MI,1982,57882,81297,112036,261655,42.331427,-83.0457538
Dothan,AL,1982,2115,2690,3244,5501,31.2232313,-85.3904888
Durham,NC,1982,4532,5849,11269,12590,35.9940329,-78.898619
Eau Claire,WI,1982,2364,2541,2675,4934,44.811349,-91.4984941
El Centro,CA,1982,1509,1509,2457,3556,32.792,-115.5630514
Elkhart,IN,1982,2868,5191,5287,8595,41.6819935,-85.9766671
Elmira,NY,1982,1489,1637,2933,3463,42.0897965,-76.8077338
El Paso,TX,1982,6691,14836,14479,23058,31.7587198,-106.4869314
Erie,PA,1982,4214,5723,7457,24349,42.1292241,-80.085059
Eugene,OR,1982,5430,6668,5211,18357,44.0520691,-123.0867536
Evansville,IN,1982,5744,7918,12349,16104,37.9747644,-87.5558482
Fairbanks,AK,1982,1049,1969,2609,2467,64.8377778,-147.7163889
Fayetteville,NC,1982,3062,4161,3902,7333,35.0526641,-78.8783585
Florence,AL,1982,2085,2016,2717,6118,34.79981,-87.677251
Gainesville,FL,1982,2801,4392,5362,6716,29.6516344,-82.3248262
Great Falls,MT,1982,1722,1842,2097,3814,47.5002354,-111.3008083
Gulfport,MS,1982,3037,4341,4029,7855,30.3674198,-89.0928155
Hagerstown,MD,1982,2650,2403,2641,6027,39.6417629,-77.7199932
Harrisonburg,VA,1982,1332,1415,2441,3791,38.4495688,-78.8689155
Hartford,CT,1982,19238,26191,38242,66538,41.7637111,-72.6850932
Honolulu,HI,1982,13417,21730,21612,44209,21.3069444,-157.8583333
Houston,TX,1982,57171,174235,212752,261777,29.7628844,-95.3830615
Huntington,WV,1982,4295,6830,5427,13325,38.4192496,-82.445154
Indianapolis,IN,1982,18938,29326,36638,68945,39.7683765,-86.1580423
Iowa City,IA,1982,1881,2372,2332,4070,41.677204,-91.5162792
Jackson,MS,1982,7265,8539,9111,21160,32.2987573,-90.1848103
Jackson,TN,1982,1659,1959,1880,4859,35.6145169,-88.8139469
Jacksonville,FL,1982,12870,22537,25783,41634,30.3321838,-81.655651
Jefferson City,MO,1982,2042,2430,3001,4036,38.5767017,-92.1735164
Jonesboro,AR,1982,1588,2067,2401,4237,35.8422967,-90.704279
Kansas City,MO,1982,25326,44652,50429,100590,39.0997265,-94.5785667
Kennewick,WA,1982,2386,3994,4236,9868,46.2112458,-119.1372338
Knoxville,TN,1982,8632,14549,15293,24442,35.9606384,-83.9207392
Lafayette,IN,1982,2323,2633,3792,6370,40.4167022,-86.8752869
Lafayette,LA,1982,5044,11549,16367,16974,30.2240897,-92.0198427
Lake Charles,LA,1982,3084,4844,7718,11219,30.2265949,-93.2173758
Lansing,MI,1982,5659,8905,8929,17103,42.732535,-84.5555347
Laredo,TX,1982,1829,2905,3064,4732,27.506407,-99.5075421
Las Vegas,NV,1982,8184,21750,23618,39957,36.114646,-115.172816
Lawton,OK,1982,1578,2598,1976,2652,34.6086854,-98.3903305
Lexington,KY,1982,6018,7850,10576,19596,38.0317136,-84.4951359
Lima,OH,1982,2017,2332,1697,7525,40.742551,-84.1052256
Longview,TX,1982,3829,7209,7699,10488,32.5007037,-94.7404891
Los Angeles,CA,1982,172425,356756,464164,755162,34.0522342,-118.2436849
Lubbock,TX,1982,4633,7163,8987,12190,33.5778631,-101.8551665
Lynchburg,VA,1982,3023,3122,4176,15115,37.4137536,-79.1422464
Macon,GA,1982,3265,3946,5644,9642,32.8406946,-83.6324022
Madison,WI,1982,7571,10847,10550,20455,43.0730517,-89.4012302
Manchester,NH,1982,5557,7961,10056,16240,42.9956397,-71.4547891
