msa,fipstate,fipscty,name_county,micro-metro,state1,city,city2,city3,city4,city5,city6,city7
14460,25,25,"Suffolk County, Massachusetts",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14460,33,15,"Rockingham County, New Hampshire",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14460,33,17,"Strafford County, New Hampshire",Metropolitan,MA,Boston,Cambridge,Quincy,,,,
14500,8,13,"Boulder County, Colorado",Metropolitan,CO,Boulder,,,,,,
14540,21,61,"Edmonson County, Kentucky",Metropolitan,KY,Bowling Green,,,,,,
14540,21,227,"Warren County, Kentucky",Metropolitan,KY,Bowling Green,,,,,,
14580,30,31,"Gallatin County, Montana",Micropolitan,MT,Bozeman,,,,,,
14620,42,83,"McKean County, Pennsylvania",Micropolitan,PA,Bradford,,,,,,
14660,27,21,"Cass County, Minnesota",Micropolitan,MN,Brainerd,,,,,,
14660,27,35,"Crow Wing County, Minnesota",Micropolitan,MN,Brainerd,,,,,,
14700,29,209,"Stone County, Missouri",Micropolitan,MO,Branson,,,,,,
14700,29,213,"Taney County, Missouri",Micropolitan,MO,Branson,,,,,,
14740,53,35,"Kitsap County, Washington",Metropolitan,WA,Bremerton,Silverdale,,,,,
14780,48,477,"Washington County, Texas",Micropolitan,TX,Brenham,,,,,,
14820,37,175,"Transylvania County, North Carolina",Micropolitan,NC,Brevard,,,,,,
14860,9,1,"Fairfield County, Connecticut",Metropolitan,CT,Bridgeport,Stamford,Norwalk,,,,
14940,49,3,"Box Elder County, Utah",Micropolitan,UT,Brigham City,,,,,,
15020,28,85,"Lincoln County, Mississippi",Micropolitan,MS,Brookhaven,,,,,,
15060,41,15,"Curry County, Oregon",Micropolitan,OR,Brookings,,,,,,
15100,46,11,"Brookings County, South Dakota",Micropolitan,SD,Brookings,,,,,,
15140,47,75,"Haywood County, Tennessee",Micropolitan,TN,Brownsville,,,,,,
15180,48,61,"Cameron County, Texas",Metropolitan,TX,Brownsville,Harlingen,,,,,
15220,48,49,"Brown County, Texas",Micropolitan,TX,Brownwood,,,,,,
15260,13,25,"Brantley County, Georgia",Metropolitan,GA,Brunswick,,,,,,
15260,13,127,"Glynn County, Georgia",Metropolitan,GA,Brunswick,,,,,,
15260,13,191,"McIntosh County, Georgia",Metropolitan,GA,Brunswick,,,,,,
15340,39,33,"Crawford County, Ohio",Micropolitan,OH,Bucyrus,,,,,,
15380,36,29,"Erie County, New York",Metropolitan,NY,Buffalo,Niagara Falls,,,,,
15380,36,63,"Niagara County, New York",Metropolitan,NY,Buffalo,Niagara Falls,,,,,
15420,16,31,"Cassia County, Idaho",Micropolitan,ID,Burley,,,,,,
15420,16,67,"Minidoka County, Idaho",Micropolitan,ID,Burley,,,,,,
15460,17,71,"Henderson County, Illinois",Micropolitan,IA,Burlington,,,,,,
15460,19,57,"Des Moines County, Iowa",Micropolitan,IA,Burlington,,,,,,
15500,37,1,"Alamance County, North Carolina",Metropolitan,NC,Burlington,,,,,,
15540,50,7,"Chittenden County, Vermont",Metropolitan,VT,Burlington,South Burlington,,,,,
15540,50,11,"Franklin County, Vermont",Metropolitan,VT,Burlington,South Burlington,,,,,
15540,50,13,"Grand Isle County, Vermont",Metropolitan,VT,Burlington,South Burlington,,,,,
15580,30,93,"Silver Bow County, Montana",Micropolitan,MT,Butte,Silver Bow,,,,,
15620,26,113,"Missaukee County, Michigan",Micropolitan,MI,Cadillac,,,,,,
15620,26,165,"Wexford County, Michigan",Micropolitan,MI,Cadillac,,,,,,
15660,13,129,"Gordon County, Georgia",Micropolitan,GA,Calhoun,,,,,,
15700,24,19,"Dorchester County, Maryland",Micropolitan,MD,Cambridge,,,,,,
15740,39,59,"Guernsey County, Ohio",Micropolitan,OH,Cambridge,,,,,,
15780,5,13,"Calhoun County, Arkansas",Micropolitan,AR,Camden,,,,,,
15780,5,103,"Ouachita County, Arkansas",Micropolitan,AR,Camden,,,,,,
15820,21,217,"Taylor County, Kentucky",Micropolitan,KY,Campbellsville,,,,,,
15860,8,43,"Fremont County, Colorado",Micropolitan,CO,Canon City,,,,,,
15900,17,57,"Fulton County, Illinois",Micropolitan,IL,Canton,,,,,,
15940,39,19,"Carroll County, Ohio",Metropolitan,OH,Canton,Massillon,,,,,
15940,39,151,"Stark County, Ohio",Metropolitan,OH,Canton,Massillon,,,,,
15980,12,71,"Lee County, Florida",Metropolitan,FL,Cape Coral,Fort Myers,,,,,
16020,17,3,"Alexander County, Illinois",Micropolitan,MO,Cape Girardeau,Jackson,,,,,
16020,29,17,"Bollinger County, Missouri",Micropolitan,MO,Cape Girardeau,Jackson,,,,,
16020,29,31,"Cape Girardeau County, Missouri",Micropolitan,MO,Cape Girardeau,Jackson,,,,,
16060,17,77,"Jackson County, Illinois",Micropolitan,IL,Carbondale,,,,,,
16100,35,15,"Eddy County, New Mexico",Micropolitan,NM,Carlsbad,Artesia,,,,,
16180,32,510,"Carson City, Nevada",Metropolitan,NV,Carson City,,,,,,
16220,56,25,"Natrona County, Wyoming",Metropolitan,WY,Casper,,,,,,
16260,49,21,"Iron County, Utah",Micropolitan,UT,Cedar City,,,,,,
16300,19,11,"Benton County, Iowa",Metropolitan,IA,Cedar Rapids,,,,,,
16300,19,105,"Jones County, Iowa",Metropolitan,IA,Cedar Rapids,,,,,,
16300,19,113,"Linn County, Iowa",Metropolitan,IA,Cedar Rapids,,,,,,
16340,13,233,"Polk County, Georgia",Micropolitan,GA,Cedartown,,,,,,
16380,39,107,"Mercer County, Ohio",Micropolitan,OH,Celina,,,,,,
16420,21,177,"Muhlenberg County, Kentucky",Micropolitan,KY,Central City,,,,,,
16460,17,121,"Marion County, Illinois",Micropolitan,IL,Centralia,,,,,,
16500,53,41,"Lewis County, Washington",Micropolitan,WA,Centralia,,,,,,
16540,42,55,"Franklin County, Pennsylvania",Micropolitan,PA,Chambersburg,,,,,,
16580,17,19,"Champaign County, Illinois",Metropolitan,IL,Champaign,Urbana,,,,,
16580,17,53,"Ford County, Illinois",Metropolitan,IL,Champaign,Urbana,,,,,
16580,17,147,"Piatt County, Illinois",Metropolitan,IL,Champaign,Urbana,,,,,
16620,54,5,"Boone County, West Virginia",Metropolitan,WV,Charleston,,,,,,
16620,54,15,"Clay County, West Virginia",Metropolitan,WV,Charleston,,,,,,
